Clone_Label	Examp_2014	Examp_2015	Examp_2017
Clone_00001	53263462	73612791	162636551
Clone_00002	30436264	43622395	63640389
Clone_00003	57067995	36351995	38891349
Clone_00004	41849863	40895995	32704089
Clone_00005	0	7270399	99880056
Clone_00006	60872528	21811197	19445675
Clone_00007	0	4543999	96344478
Clone_00008	19022665	30899196	45078609
Clone_00009	60872528	25446397	6187260
Clone_00010	22827198	22719997	34471878
Clone_00011	19022665	13631998	31820195
Clone_00012	19022665	12723198	32704089
Clone_00013	41849863	9087999	7071154
Clone_00014	26631731	16358398	12374520
Clone_00015	19022665	10905599	23865146
Clone_00016	15218132	19084798	17677886
Clone_00017	22827198	11814399	15910097
Clone_00018	7609066	13631998	28284617
Clone_00019	26631731	9087999	11490626
Clone_00020	22827198	9996799	12374520
Clone_00021	19022665	15449598	10606732
Clone_00022	22827198	9087999	12374520
Clone_00023	19022665	19993598	4419471
Clone_00024	3804533	18175998	21213463
Clone_00025	19022665	4543999	18561780
Clone_00026	30436264	4543999	7071154
Clone_00027	0	16358398	24749040
Clone_00028	11413599	9087999	20329569
Clone_00029	19022665	11814399	7071154
Clone_00030	19022665	10905599	7955049
Clone_00031	3804533	13631998	20329569
Clone_00032	7609066	18175998	11490626
Clone_00033	19022665	6361599	9722837
Clone_00034	15218132	10905599	8838943
Clone_00035	7609066	14540798	12374520
Clone_00036	7609066	12723198	14142309
Clone_00037	3804533	11814399	18561780
Clone_00038	0	10905599	19445675
Clone_00039	11413599	7270399	11490626
Clone_00040	22827198	6361599	883894
Clone_00041	19022665	7270399	3535577
Clone_00042	19022665	6361599	4419471
Clone_00043	19022665	5452799	5303366
Clone_00044	15218132	7270399	7071154
Clone_00045	26631731	908800	1767789
Clone_00046	22827198	5452799	883894
Clone_00047	7609066	8179199	13258414
Clone_00048	0	7270399	21213463
Clone_00049	11413599	8179199	8838943
Clone_00050	22827198	4543999	883894
Clone_00051	7609066	11814399	7955049
Clone_00052	7609066	10905599	8838943
Clone_00053	3804533	10905599	12374520
Clone_00054	15218132	4543999	7071154
Clone_00055	7609066	9087999	9722837
Clone_00056	15218132	9996799	883894
Clone_00057	19022665	4543999	1767789
Clone_00058	15218132	6361599	3535577
Clone_00059	0	5452799	19445675
Clone_00060	3804533	12723198	7955049
Clone_00061	3804533	6361599	14142309
Clone_00062	15218132	3635200	5303366
Clone_00063	22827198	908800	0
Clone_00064	3804533	9996799	9722837
Clone_00065	0	10905599	12374520
Clone_00066	11413599	3635200	7955049
Clone_00067	7609066	11814399	3535577
Clone_00068	7609066	8179199	7071154
Clone_00069	7609066	1817600	12374520
Clone_00070	3804533	9087999	8838943
Clone_00071	0	14540798	7071154
Clone_00072	11413599	4543999	5303366
Clone_00073	7609066	10905599	2651683
Clone_00074	3804533	7270399	9722837
Clone_00075	3804533	6361599	10606732
Clone_00076	3804533	3635200	13258414
Clone_00077	0	5452799	15026203
Clone_00078	11413599	5452799	3535577
Clone_00079	3804533	6361599	9722837
Clone_00080	15218132	3635200	883894
Clone_00081	0	8179199	11490626
Clone_00082	0	8179199	11490626
Clone_00083	7609066	8179199	3535577
Clone_00084	7609066	6361599	5303366
Clone_00085	7609066	4543999	7071154
Clone_00086	3804533	9087999	6187260
Clone_00087	3804533	7270399	7955049
Clone_00088	3804533	7270399	7955049
Clone_00089	19022665	0	0
Clone_00090	15218132	3635200	0
Clone_00091	15218132	3635200	0
Clone_00092	15218132	1817600	1767789
Clone_00093	11413599	5452799	1767789
Clone_00094	11413599	1817600	5303366
Clone_00095	3804533	14540798	0
Clone_00096	7609066	4543999	6187260
Clone_00097	3804533	7270399	7071154
Clone_00098	3804533	6361599	7955049
Clone_00099	15218132	908800	1767789
Clone_00100	15218132	0	2651683
