Examp_TCR_2014	Examp_TCR_2015	Examp_TCR_2017	Examp_TCR_clones
2508875	20614340	6993304	10038840
21879727	3190315	5030271	10033437
3384064	8916520	17789984	10030189
16336863	10797988	2944549	10026466
5426172	7444067	17176536	10015592
4434291	6217023	19384948	10012087
17328743	7771279	4907582	10002535
20304386	1717862	7974820	9999023
21529651	2208679	6257167	9998499
21763035	2699497	5521029	9994520
10502269	8916520	10551301	9990030
6593091	9734549	13618539	9982060
22579878	1227044	6134477	9980466
14644830	3762935	11532817	9980194
17153706	5889811	6870614	9971377
22813262	4253753	2821860	9962958
3850832	13497485	12514333	9954217
15053252	6544235	8220199	9939229
14061371	5317191	10428611	9935724
5426172	10634382	13741229	9933928
2975643	17833040	8956337	9921673
17737165	5235388	6747925	9906826
10152193	10961594	8588268	9900685
16453554	7444067	5766409	9888010
0	9652747	19998396	9883714
11610842	12270441	5766409	9882564
0	13906499	15704262	9870254
10735653	11125199	7729441	9863431
11260766	14151908	4171444	9861373
22579878	5153585	1840343	9857935
6418053	14806332	8342889	9855758
1808724	22086793	5643719	9846412
17737165	9080126	2699170	9838820
8343469	8016688	13127781	9829313
9743772	15542558	4171444	9819258
0	16442390	13005092	9815827
14994906	11125199	3312618	9810908
8051739	9325535	12023575	9800283
6768129	7280461	15336193	9794928
16511900	5644403	7115994	9757432
11844225	8589308	8833647	9755727
8810237	12597652	7852131	9753340
8401815	7853082	13005092	9753330
8401815	17015011	3803376	9740067
1283611	8425702	19507637	9738984
0	17914843	11287438	9734094
9685426	16933208	2576480	9731705
15403328	4989979	8710958	9701421
13186182	3762935	12146265	9698461
5542864	8998323	14477366	9672851
23455067	0	5521029	9658699
12719414	10797988	5398340	9638581
2567221	18732873	7606752	9635615
16745284	6135220	6011788	9630764
10210539	3681132	14968124	9619932
16628592	8671111	3557997	9619233
17970549	8916520	1963033	9616701
17678819	10143564	981516	9601300
28764547	0	0	9588182
0	14888134	13741229	9543121
11844225	13088470	3680686	9537794
11202420	6462432	10919369	9528074
9685426	5889811	13005092	9526776
10152193	10061761	8342889	9518948
14761522	2454088	11287438	9501016
5076097	6462432	16931157	9489895
8343469	4989979	15090814	9474754
15286636	11043396	2085722	9471918
8810237	10879791	8710958	9466995
16803630	4580964	6993304	9459299
5717902	19223690	3435307	9458966
8693545	12515849	7115994	9441796
4259253	9816352	14231987	9435864
13944679	5153585	9201716	9433327
11552496	1881468	14845435	9426466
5251134	10143564	12882402	9425700
1983762	8343900	17912673	9413445
6184669	15624361	6379856	9396296
2100454	10634382	15336193	9357009
8460161	8180294	11287438	9309298
13361220	9407338	5030271	9266276
18378970	2290482	7115994	9261815
26547402	0	1226895	9258099
7526626	5153585	15090814	9257008
4492637	8016688	15213503	9240943
1750378	5726206	20243775	9240119
8343469	11125199	8220199	9229623
22696570	2045073	2944549	9228731
13302874	5644403	8710958	9219411
19370851	6789644	1472275	9210923
8518507	13579287	5521029	9206275
3150681	16115179	8342889	9202916
6009632	9570944	12023575	9201383
8401815	10961594	8220199	9194536
4492637	13497485	9569784	9186635
7351588	5071782	15090814	9171395
5076097	10307170	12023575	9135614
5076097	12352243	9937853	9122064
4959405	14151908	8220199	9110504
16511900	7362264	3435307	9103157
8285123	9407338	9569784	9087415
6359707	13415682	7484062	9086484
10560615	11288805	5398340	9082587
27247553	0	0	9082518
22988299	2781300	1472275	9080625
12544377	5971614	8710958	9075650
5426172	12597652	9201716	9075180
2217146	13824696	11164748	9068863
19079122	4417359	3680686	9059055
12077609	7853082	7238683	9056458
8460161	14151908	4539513	9050527
14994906	10797988	1349585	9047493
10735653	9898155	6502546	9045451
9101966	12843061	5152961	9032663
2917297	10552579	13618539	9029472
2858951	12924864	11287438	9023751
20187694	1472453	5398340	9019496
15986787	7853082	3189928	9009932
20246040	4744570	1963033	8984548
0	1063438	25887494	8983644
12486031	4744570	9692474	8974358
9860463	7362264	9692474	8971734
10385577	7689476	8833647	8969567
9218658	10552579	7115994	8962410
17970549	8916520	0	8962356
8401815	8016688	10428611	8949038
0	11125199	15704262	8943154
14469793	4826373	7484062	8926743
3734140	6462432	16563088	8919887
18729046	2372285	5643719	8915017
20362732	2699497	3680686	8914305
7760010	8180294	10796680	8912328
4959405	13415682	8342889	8905992
1925416	15951573	8833647	8903545
19487543	3353920	3803376	8881613
11494150	8752914	6379856	8875640
12836106	4335556	9447095	8872919
4901059	9080126	12637023	8872736
10910690	8098491	7606752	8871978
5776248	6789644	13986608	8850833
16803630	5071782	4662203	8845872
14236409	3190315	9079026	8835250
12836106	6789644	6870614	8832121
6768129	1554256	18158052	8826812
12369339	4171950	9937853	8826381
5659556	5480797	15336193	8825515
18904084	6217023	1349585	8823564
7876702	11697820	6870614	8815045
0	9734549	16685778	8806776
19079122	4499162	2821860	8800048
16336863	6135220	3926065	8799383
9043620	11943229	5398340	8795063
10560615	5971614	9815163	8782464
13419566	5562600	7361373	8781179
13536258	5398994	7361373	8765541
13711295	3272117	9201716	8728376
10560615	3599329	12023575	8727840
12719414	10143564	3312618	8725199
0	11207002	14968124	8725042
5017751	11452411	9692474	8720879
12369339	12679455	1104206	8717667
26138980	0	0	8712993
0	12515849	13618539	8711463
15695057	1717862	8710958	8707959
21412959	2126876	2576480	8705439
15344982	5317191	5398340	8686837
7818356	12352243	5889098	8686566
8226777	12025032	5766409	8672739
2042108	7771279	16195020	8669469
9977155	10797988	5152961	8642701
8285123	5971614	11655507	8637415
0	9570944	16317709	8629551
11552496	7444067	6870614	8622392
700151	1227044	23924461	8617219
15578365	5971614	4294134	8614705
16395208	8343900	1104206	8614438
8401815	4908176	12514333	8608108
9335350	12270441	4171444	8592412
1400303	2045073	22329497	8591624
