Examp_IS_2014	Examp_IS_2015	Examp_IS_2017	Examp_IS_clone
5539400	7655730	16914201	10036444
3165371	4536729	6618600	4773567
5935071	3780608	4044700	4586793
4352386	4253183	3401225	4002265
0	756122	10387526	3714549
6330743	2268365	2022350	3540486
0	472576	10019826	3497467
1978357	3213516	4688175	3293350
6330743	2646425	643475	3206881
2374029	2362880	3585075	2773995
1978357	1417728	3309300	2235128
1978357	1323213	3401225	2234265
4352386	945152	735400	2010979
2769700	1701273	1286950	1919308
1978357	1134182	2481975	1864838
1582686	1984819	1838500	1802002
2374029	1228697	1654650	1752459
791343	1417728	2941600	1716890
2769700	945152	1195025	1636626
2374029	1039667	1286950	1566882
1978357	1606758	1103100	1562738
2374029	945152	1286950	1535377
1978357	2079334	459625	1505772
395671	1890304	2206200	1497392
1978357	472576	1930425	1460453
3165371	472576	735400	1457782
0	1701273	2573900	1425058
1187014	945152	2114275	1415480
1978357	1228697	735400	1314152
1978357	1134182	827325	1313288
395671	1417728	2114275	1309225
791343	1890304	1195025	1292224
1978357	661606	1011175	1217046
1582686	1134182	919250	1212039
791343	1512243	1286950	1196845
791343	1323213	1470800	1195119
395671	1228697	1930425	1184931
0	1134182	2022350	1052177
1187014	756122	1195025	1046054
2374029	661606	91925	1042520
1978357	756122	367700	1034060
1978357	661606	459625	1033196
1978357	567091	551550	1032333
1582686	756122	735400	1024736
2769700	94515	183850	1016022
2374029	567091	91925	1011015
791343	850637	1378875	1006952
0	756122	2206200	987441
1187014	850637	919250	985634
2374029	472576	91925	979510
791343	1228697	827325	949122
791343	1134182	919250	948258
395671	1134182	1286950	938935
1582686	472576	735400	930221
791343	945152	1011175	915890
1582686	1039667	91925	904759
1978357	472576	183850	878261
1582686	661606	367700	870664
0	567091	2022350	863147
395671	1323213	827325	848736
395671	661606	1470800	842693
1582686	378061	551550	837432
2374029	94515	0	822848
395671	1039667	1011175	815505
0	1134182	1286950	807044
1187014	378061	827325	797467
791343	1228697	367700	795913
791343	850637	735400	792460
791343	189030	1286950	755774
395671	945152	919250	753358
0	1512243	735400	749214
1187014	472576	551550	737047
791343	1134182	275775	733767
395671	756122	1011175	720989
395671	661606	1103100	720126
395671	378061	1378875	717536
0	567091	1562725	709939
1187014	567091	367700	707268
395671	661606	1011175	689484
1582686	378061	91925	684224
0	850637	1195025	681887
0	850637	1195025	681887
791343	850637	367700	669893
791343	661606	551550	668166
791343	472576	735400	666440
395671	945152	643475	661433
395671	756122	827325	659706
395671	756122	827325	659706
1978357	0	0	659452
1582686	378061	0	653582
1582686	378061	0	653582
1582686	189030	183850	651855
1187014	567091	183850	645985
1187014	189030	551550	642532
395671	1512243	0	635971
791343	472576	643475	635798
395671	756122	735400	629064
395671	661606	827325	628201
1582686	94515	183850	620350
1582686	0	275775	619487
