IS_10	MISS_10	IS_20	MISS_20	IS_30	MISS_30	IS_40	MISS_40	IS_50	MISS_50	IS_60	MISS_60	IS_70	MISS_70	IS_80	MISS_80	IS_90	MISS_90	IS_100	MISS_100
 35	  0	 48	  2	 51	  9	 59	 15	 66	 20	 69	 27	 74	 33	 77	 40	 80	 47	 85	 53
 41	  1	 50	  4	 59	  8	 67	 11	 73	 16	 80	 22	 87	 26	 90	 34	 92	 42	 98	 47
 29	  1	 35	  7	 42	 12	 50	 16	 52	 24	 55	 31	 57	 39	 57	 49	 61	 55	 65	 62
 37	  0	 45	  4	 62	  6	 64	 14	 67	 22	 72	 28	 74	 36	 77	 44	 82	 50	 86	 56
 21	  3	 33	  6	 43	 10	 51	 15	 56	 20	 60	 27	 63	 34	 66	 42	 73	 46	 76	 53
 26	  0	 32	  6	 38	 12	 51	 16	 60	 18	 62	 26	 66	 33	 74	 40	 76	 48	 79	 55
 24	  0	 37	  3	 44	  8	 51	 14	 58	 21	 63	 26	 71	 29	 75	 35	 78	 42	 83	 48
 36	  0	 51	  2	 60	  7	 69	 11	 73	 18	 74	 27	 76	 35	 84	 39	 86	 47	 92	 53
 30	  0	 45	  3	 55	  7	 61	 12	 68	 17	 71	 25	 77	 29	 85	 33	 87	 41	 91	 48
 40	  0	 58	  2	 69	  4	 75	  8	 81	 13	 82	 22	 91	 24	 98	 27	100	 35	106	 40
 28	  1	 40	  5	 48	  7	 57	 11	 65	 15	 70	 22	 75	 27	 79	 33	 80	 42	 85	 48
 26	  1	 37	  7	 43	 13	 49	 18	 52	 25	 57	 31	 62	 38	 64	 46	 66	 54	 72	 58
 25	  2	 41	  2	 45	  9	 49	 15	 54	 20	 57	 29	 62	 35	 65	 43	 68	 51	 71	 58
 26	  0	 35	  5	 44	  9	 57	 11	 60	 19	 65	 24	 71	 29	 73	 37	 76	 44	 80	 51
 24	  2	 40	  3	 44	  9	 49	 14	 53	 20	 58	 25	 66	 28	 72	 33	 78	 39	 83	 45
 23	  1	 45	  1	 53	  5	 58	 11	 64	 15	 68	 21	 74	 27	 78	 33	 82	 40	 86	 48
 29	  1	 35	  7	 41	 12	 49	 17	 55	 22	 61	 28	 66	 33	 70	 40	 71	 49	 73	 57
 22	  2	 31	  8	 42	 13	 52	 19	 60	 23	 64	 29	 66	 37	 68	 46	 69	 55	 74	 62
 20	  1	 36	  4	 41	  9	 49	 13	 61	 15	 67	 20	 70	 28	 78	 32	 80	 40	 84	 48
 20	  2	 32	  5	 39	  9	 43	 16	 50	 21	 54	 28	 64	 31	 68	 37	 74	 41	 78	 47
 30	  1	 40	  4	 46	  9	 54	 14	 62	 20	 67	 26	 70	 34	 79	 38	 82	 45	 87	 50
 29	  0	 39	  3	 43	 10	 48	 15	 53	 20	 57	 28	 60	 35	 62	 43	 65	 50	 70	 56
 34	  0	 43	  3	 54	  6	 61	 12	 67	 17	 71	 24	 78	 29	 79	 38	 82	 46	 83	 55
 35	  1	 47	  4	 49	 13	 55	 18	 61	 25	 68	 29	 75	 35	 76	 44	 81	 49	 81	 59
 32	  1	 58	  2	 66	  6	 71	 11	 75	 19	 78	 27	 84	 32	 86	 40	 92	 46	 96	 53
 30	  0	 39	  4	 50	  7	 59	 11	 63	 18	 69	 24	 74	 30	 77	 37	 82	 44	 83	 53
 33	  0	 43	  3	 51	  6	 56	 12	 62	 18	 67	 24	 71	 30	 72	 39	 75	 46	 76	 55
 27	  0	 29	  8	 37	 13	 43	 20	 48	 26	 53	 31	 57	 38	 62	 44	 65	 51	 70	 57
 31	  1	 41	  6	 48	 10	 56	 14	 64	 18	 70	 23	 76	 30	 82	 38	 84	 46	 86	 54
